Day,Time,Open Price ask,Open Price bid,High Price ask,High Price bid,Low Price ask,Low Price bid,Close Price ask,Close Price bid,Last Trade Volume
20-08-14,20-08-14T08:20:10,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:11,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:12,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:13,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:14,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:15,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:16,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:17,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:18,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:19,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:20,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:21,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:22,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:23,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:24,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:25,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:26,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:27,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:28,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:29,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:30,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:31,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:32,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:33,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:34,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:35,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:36,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:37,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:38,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:39,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:40,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:41,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:42,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:43,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:44,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:45,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:46,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:47,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:48,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:49,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:50,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:51,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:52,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:53,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:54,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:55,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:56,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:57,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:58,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:20:59,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:00,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:01,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:02,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:03,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:04,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:05,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:06,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:07,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:08,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:09,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:10,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:11,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:12,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:13,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:14,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:15,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:16,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:17,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:18,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:19,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:20,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:21,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:22,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:23,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:24,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:25,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:26,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:27,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:28,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:29,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:30,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:31,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:32,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:33,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:34,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:35,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:36,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:37,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:38,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:39,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:40,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:41,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:42,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:43,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:44,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:45,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:46,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:47,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:48,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:49,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:50,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:51,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:52,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:53,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:54,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:55,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:56,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:57,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:58,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:21:59,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
20-08-14,20-08-14T08:22:00,4241.3,4238.5,4241.7,4238.9,4241.7,4238.9,4241.7,4238.9,0
